lake.name,julian.day,nhd_lat,max.depth,lake.area,lake.class ,IWS.stream.density,no.upstream.lakes,area.upstream.lakes,perc.agric.dev.land,no.boat.ramps,dist.weig.pop
Austin.Lake,211,42.176194,3.4,445.98,2,1.3,5,456.3,62.6,2,0.306
Big.Manistique,221,46.240026,6.1,4186.12,6,3.8,10,2619.1,19,6,0.081
Brevoort.Lake,222,45.998104,9.1,1745.73,5,4.7,1,66.1,7.3,4,0.092
Cass.Lake,198,42.609087,38.1,530.72,2,10.8,48,2525.8,73,8,1
Dumont.Lake,154,42.59318,15.2,97.59,1,4.1,2,25.4,41.6,2,0.378
Five.Channels.Impoundment,180,44.461668,9.1,90.04,1,2.1,68,4502,9.1,1,0.155
Fourth.Lake,140,41.885989,15.5,19.17,1,12.6,1,28.6,27.4,0,0.679
Haithco.Lake,148,43.468212,7.9,14.89,1,0,0,0,92,0,0.285
Higgins.Lake,242,44.471349,41.2,4126.62,3,0.9,0,0,33.2,14,0.159
Holloway.Reservoir,161,43.117695,7.6,486.13,2,10.1,58,1128.6,37.6,2,0.363
Houghton.Lake,226,44.34649,6.4,8126.64,5,2.7,11,4930.4,49.9,19,0.17
Kimball.Lake,137,43.457098,16.2,58.64,1,12.1,4,145.7,20.3,1,0.226
Lake.George,234,43.952878,7.6,52.4,1,0,0,0,24,1,0.202
Long.Lake,144,41.871003,12.2,86.22,1,7.4,3,30.7,50.1,1,0.234
Mullett.Lake,227,45.509708,36.6,6762.28,3,6.7,31,11005.8,24.7,9,0.116
Ocqueoc.Lake,144,45.474529,34,50.7,1,6.5,13,409.2,11.8,2,0.108
Pentwater.Lake,169,43.769719,12.2,198.08,2,9.8,250,8194571.2,29.9,6,0.157
Pickerel.Lake,137,43.457584,22.3,124.13,1,3.6,5,204.3,16.9,2,0.227
Thompson.Lake,214,42.611636,16.8,106.85,1,8.5,2,147,92.8,1,0.956
Torch.Lake,219,44.972825,86.9,7578.99,2,6.6,19,2065.5,26.9,10,0.132
Walloon.Lake,175,45.294291,30.5,1853.42,2,6,0,0,22.1,10,0.124
Wycamp.Lake,218,45.657213,2.1,246.75,6,2.3,0,0,1.5,1,0.105
