lake.names,county,julian.day,lake.area,max.depth,IWS.stream.density,area.upstream.lakes,perc.agric.dev.land,no.boat.ramps,boat.ramp.density,dist.weig.pop
Austin_Lake,Kalamazoo,211,445.98,3.4,1.3,456.3,62.6,2,0.004,0.306
Big_Manistique,Mackinac,221,4186.12,6.1,3.8,2619.1,19,6,0.001,0.081
Brevort_Lake,Mackinac,222,1745.73,9.1,4.7,66.1,7.3,4,0.002,0.092
Cass_Lake,Oakland,198,530.72,38.1,10.8,2525.8,73,8,0.015,1
Dumont_Lake,Allegan,154,97.59,15.2,4.1,25.4,41.6,2,0.02,0.378
Five_Channels_Impoundment,Iosco,180,90.04,9.1,2.1,4502,9.1,1,0.011,0.155
Fourth_Lake,Hillsdale,140,19.17,15.5,12.6,28.6,27.4,0,0,0.679
Haithco_Lake,Saginaw,148,14.89,6.9,0,0,92,0,0,0.285
Higgins_Lake,Roscommon.Crawford,242,4126.62,41.2,0.9,0,33.2,14,0.003,0.159
Holloway_Reservoir,Genesee,161,486.13,7.6,10.1,1128.6,37.6,2,0.004,0.363
Houghton_Lake,Roscommon,226,8126.64,6.4,2.7,4930.4,49.9,19,0.002,0.17
Kimball_Lake,Newaygo,137,58.64,16.2,12.1,145.7,20.3,1,0.017,0.226
Lake_George,Clare,234,52.4,7.6,0,0,24,1,0.019,0.202
Long_Lake,Hillsdale,144,86.22,12.2,7.4,30.7,50.1,1,0.012,0.234
Mullett_Lake,Cheboygan,227,6762.28,36.6,6.7,11005.8,24.7,9,0.001,0.116
Ocqueoc_Lake,Presque Isle,144,50.7,34,6.5,409.2,11.8,2,0.039,0.108
Pentwater_Lake,Oceana,169,198.08,12.2,9.8,8194571.2,29.9,6,0.03,0.157
Pickerel_Lake,Newaygo,137,124.13,22.3,3.6,204.3,16.9,2,0.016,0.227
Thompson_Lake,Livingston,214,106.85,16.8,8.5,147,92.8,1,0.009,0.956
Torch_Lake,Antrim,219,7578.99,86.9,6.6,2065.5,26.9,10,0.001,0.132
Walloon_Lake,Charlevoix,175,1853.42,30.5,6,0,22.1,10,0.005,0.124
Wycamp_Lake,Emmet,218,246.75,2.1,2.3,0,1.5,1,0.004,0.105
